roc-time-tzdb-v1	2025b	iana-2025b-wheel-2025.2-posix-1800-2200-v1	-5364662400	7258118400
Asia/Hebron	e05ba37ee13e10221780a5b8a6fd25c6ad999008fb8c3c2dd2b7b3b80d1f1738	8423	7200	10800	-2185410023,7200;-933638400,10800;-923097600,7200;-919036800,10800;-857347200,7200;-844300800,10800;-825811200,7200;-812678400,10800;-794188800,7200;-779846400,10800;-762652800,7200;-748310400,10800;-731116800,7200;-399088800,10800;-386650800,7200;-368330400,10800;-355114800,7200;-336790800,10800;-323654400,7200;-305168400,10800;-292032000,7200;-273632400,10800;-260496000,7200;-242096400,10800;-228960000,7200;-210560400,10800;-197424000,7200;-178938000,10800;-165801600,7200;-147402000,10800;-134265600,7200;-115866000,10800;-102643200,7200;-84330000,10800;-81313200,7200;142380000,10800;150843600,7200;167176800,10800;178664400,7200;334101600,10800;337730400,7200;452642400,10800;462319200,7200;482277600,10800;494370000,7200;516751200,10800;526424400,7200;545436000,10800;558478800,7200;576626400,10800;589323600,7200;609890400,10800;620773200,7200;638316000,10800;651618000,7200;669765600,10800;683672400,7200;701820000,10800;715726800,7200;733701600,10800;747176400,7200;765151200,10800;778021200,7200;796600800,10800;810075600,7200;820447200,7200;828655200,10800;843170400,7200;860104800,10800;874620000,7200;891554400,10800;906069600,7200;924213600,10800;939934800,7200;956268000,10800;971989200,7200;987717600,10800;1003438800,7200;1019167200,10800;1034888400,7200;1050616800,10800;1066338000,7200;1082066400,10800;1096581600,7200;1113516000,10800;1128380400,7200;1143842400,10800;1158872400,7200;1175378400,10800;1189638000,7200;1206655200,10800;1220216400,7200;1238104800,10800;1252015200,7200;1269554400,10800;1281474000,7200;1301608860,10800;1312146000,7200;1314655200,10800;1317330000,7200;1333058400,10800;1348178400,7200;1364508000,10800;1380229200,7200;1395957600,10800;1414098000,7200;1427493600,10800;1445551200,7200;1458946800,10800;1477692000,7200;1490396400,10800;1509141600,7200;1521846000,10800;1540591200,7200;1553810400,10800;1572037200,7200;1585346400,10800;1603490400,7200;1616796000,10800;1635458400,7200;1648332000,10800;1666998000,7200;1682726400,10800;1698447600,7200;1713571200,10800;1729897200,7200;1744416000,10800;1761346800,7200;1774656000,10800;1792796400,7200;1806105600,10800;1824850800,7200;1837555200,10800;1856300400,7200;1869004800,10800;1887750000,7200;1901059200,10800;1919199600,7200;1932508800,10800;1950649200,7200;1963958400,10800;1982703600,7200;1995408000,10800;2014153200,7200;2026857600,10800;2045602800,7200;2058307200,10800;2077052400,7200;2090361600,10800;2107897200,7200;2121811200,10800;2138742000,7200;2153260800,10800;2168982000,7200;2184710400,10800;2199826800,7200;2216160000,10800;2230066800,7200;2234304000,10800;2234905200,7200;2248214400,10800;2260911600,7200;2264544000,10800;2266354800,7200;2279664000,10800;2291756400,7200;2295388800,10800;2297804400,7200;2311113600,10800;2321996400,7200;2326233600,10800;2329254000,7200;2342563200,10800;2352841200,7200;2356473600,10800;2361308400,7200;2374012800,10800;2383686000,7200;2387318400,10800;2392758000,7200;2405462400,10800;2413926000,7200;2418163200,10800;2424207600,7200;2437516800,10800;2444770800,7200;2448403200,10800;2455657200,7200;2468966400,10800;2475010800,7200;2479248000,10800;2487106800,7200;2500416000,10800;2505855600,7200;2509488000,10800;2519161200,7200;2531865600,10800;2536700400,7200;2540332800,10800;2550610800,7200;2563315200,10800;2566940400,7200;2571177600,10800;2582060400,7200;2595369600,10800;2597785200,7200;2601417600,10800;2613510000,7200;2626819200,10800;2628025200,7200;2632262400,10800;2644959600,7200;2658268800,10800;2658870000,7200;2663107200,10800;2676409200,7200;2693347200,10800;2708463600,7200;2724192000,10800;2739913200,7200;2754432000,10800;2771362800,7200;2785276800,10800;2802812400,7200;2816121600,10800;2834262000,7200;2847571200,10800;2866316400,7200;2879020800,10800;2897766000,7200;2910470400,10800;2929215600,7200;2941920000,10800;2960665200,7200;2973974400,10800;2992114800,7200;3005424000,10800;3023564400,7200;3036873600,10800;3055618800,7200;3068323200,10800;3087068400,7200;3099772800,10800;3117913200,7200;3131827200,10800;3148758000,7200;3163276800,10800;3179602800,7200;3194726400,10800;3209842800,7200;3226176000,10800;3240687600,7200;3244320000,10800;3244921200,7200;3257625600,10800;3271532400,7200;3275164800,10800;3276370800,7200;3289075200,10800;3301772400,7200;3306009600,10800;3307820400,7200;3321129600,10800;3332617200,7200;3336249600,10800;3339270000,7200;3352579200,10800;3362857200,7200;3367094400,10800;3370719600,7200;3384028800,10800;3393702000,7200;3397939200,10800;3402774000,7200;3415478400,10800;3424546800,7200;3428179200,10800;3434223600,7200;3446928000,10800;3454786800,7200;3459024000,10800;3465673200,7200;3478982400,10800;3485631600,7200;3489264000,10800;3497122800,7200;3510432000,10800;3516476400,7200;3520108800,10800;3528572400,7200;3541881600,10800;3546716400,7200;3550953600,10800;3560022000,7200;3573331200,10800;3577561200,7200;3581193600,10800;3592076400,7200;3604780800,10800;3607801200,7200;3612038400,10800;3623526000,7200;3636230400,10800;3638646000,7200;3642883200,10800;3654975600,7200;3668284800,10800;3669490800,7200;3673123200,10800;3686425200,7200;3699734400,10800;3717874800,7200;3731184000,10800;3749929200,7200;3762633600,10800;3781378800,7200;3794083200,10800;3812828400,7200;3825532800,10800;3844278000,7200;3857587200,10800;3875727600,7200;3889036800,10800;3907177200,7200;3920486400,10800;3939231600,7200;3951936000,10800;3970681200,7200;3983385600,10800;4002130800,7200;4015440000,10800;4033580400,7200;4046889600,10800;4065030000,7200;4078339200,10800;4096479600,7200;4109788800,10800;4128534000,7200;4141238400,10800;4159983600,7200;4172688000,10800;4191433200,7200;4204137600,10800;4222882800,7200;4236192000,10800;4254332400,7200;4267641600,10800;4285782000,7200;4299091200,10800;4317836400,7200;4330540800,10800;4349286000,7200;4361990400,10800;4380735600,7200;4394044800,10800;4412185200,7200;4425494400,10800;4443634800,7200;4456944000,10800;4475084400,7200;4488393600,10800;4507138800,7200;4519843200,10800;4538588400,7200;4551292800,10800;4570038000,7200;4583347200,10800;4601487600,7200;4614796800,10800;4632937200,7200;4646246400,10800;4664991600,7200;4677696000,10800;4696441200,7200;4709145600,10800;4727890800,7200;4741200000,10800;4759340400,7200;4772649600,10800;4790790000,7200;4804099200,10800;4822239600,7200;4835548800,10800;4854294000,7200;4866998400,10800;4885743600,7200;4898448000,10800;4917193200,7200;4930502400,10800;4948642800,7200;4961952000,10800;4980092400,7200;4993401600,10800;5012146800,7200;5024851200,10800;5043596400,7200;5056300800,10800;5075046000,7200;5087750400,10800;5106495600,7200;5119804800,10800;5137945200,7200;5151254400,10800;5169394800,7200;5182704000,10800;5201449200,7200;5214153600,10800;5232898800,7200;5245603200,10800;5264348400,7200;5277657600,10800;5295798000,7200;5309107200,10800;5327247600,7200;5340556800,10800;5358697200,7200;5372006400,10800;5390751600,7200;5403456000,10800;5422201200,7200;5434905600,10800;5453650800,7200;5466960000,10800;5485100400,7200;5498409600,10800;5516550000,7200;5529859200,10800;5548604400,7200;5561308800,10800;5580054000,7200;5592758400,10800;5611503600,7200;5624812800,10800;5642953200,7200;5656262400,10800;5674402800,7200;5687712000,10800;5705852400,7200;5719161600,10800;5737906800,7200;5750611200,10800;5769356400,7200;5782060800,10800;5800806000,7200;5814115200,10800;5832255600,7200;5845564800,10800;5863705200,7200;5877014400,10800;5895759600,7200;5908464000,10800;5927209200,7200;5939913600,10800;5958658800,7200;5971363200,10800;5990108400,7200;6003417600,10800;6021558000,7200;6034867200,10800;6053007600,7200;6066316800,10800;6085062000,7200;6097766400,10800;6116511600,7200;6129216000,10800;6147961200,7200;6161270400,10800;6179410800,7200;6192720000,10800;6210860400,7200;6224169600,10800;6242310000,7200;6255619200,10800;6274364400,7200;6287068800,10800;6305814000,7200;6318518400,10800;6337263600,7200;6350572800,10800;6368713200,7200;6382022400,10800;6400162800,7200;6413472000,10800;6432217200,7200;6444921600,10800;6463666800,7200;6476371200,10800;6495116400,7200;6508425600,10800;6526566000,7200;6539875200,10800;6558015600,7200;6571324800,10800;6589465200,7200;6602774400,10800;6621519600,7200;6634224000,10800;6652969200,7200;6665673600,10800;6684418800,7200;6697728000,10800;6715868400,7200;6729177600,10800;6747318000,7200;6760627200,10800;6779372400,7200;6792076800,10800;6810822000,7200;6823526400,10800;6842271600,7200;6854976000,10800;6873721200,7200;6887030400,10800;6905170800,7200;6918480000,10800;6936620400,7200;6949929600,10800;6968674800,7200;6981379200,10800;7000124400,7200;7012828800,10800;7031574000,7200;7044883200,10800;7063023600,7200;7076332800,10800;7094473200,7200;7107782400,10800;7125922800,7200;7139232000,10800;7157977200,7200;7170681600,10800;7189426800,7200;7202131200,10800;7220876400,7200;7234185600,10800;7252326000,7200
Asia/Ho_Chi_Minh	47e45e54cade31c1131b44a27e37dee73f8f810a54b0a8d3e9d55b10acd3dec1	25590	25200	32400	-2004073590,25590;-1851577590,25200;-852105600,28800;-782643600,32400;-767869200,25200;-718095600,28800;-457772400,25200;-315648000,28800;171820800,25200
Asia/Hong_Kong	f4068f73246db97417f73467453564c57d6646ce4909b9fa2536923efcd7eb4f	27402	27402	32400	-2056690800,28800;-900910800,32400;-891579600,30600;-884248200,32400;-761209200,28800;-747907200,32400;-728541000,28800;-717049800,32400;-697091400,28800;-683785800,32400;-668061000,28800;-654755400,32400;-636611400,28800;-623305800,32400;-605161800,28800;-591856200,32400;-573712200,28800;-559801800,32400;-541657800,28800;-528352200,32400;-510211800,28800;-498112200,32400;-478762200,28800;-466662600,32400;-446707800,28800;-435213000,32400;-415258200,28800;-403158600,32400;-383808600,28800;-371709000,32400;-352359000,28800;-340259400,32400;-320909400,28800;-308809800,32400;-288855000,28800;-277360200,32400;-257405400,28800;-245910600,32400;-225955800,28800;-213856200,32400;-194506200,28800;-182406600,32400;-163056600,28800;-148537800,32400;-132816600,28800;-117088200,32400;-101367000,28800;-85638600,32400;-69312600,28800;-53584200,32400;-37863000,28800;-22134600,32400;-6413400,28800;9315000,32400;25036200,28800;40764600,32400;56485800,28800;72214200,32400;88540200,28800;104268600,32400;119989800,28800;126041400,32400;151439400,28800;167167800,32400;182889000,28800;198617400,32400;214338600,28800;295385400,32400;309292200,28800
Asia/Hovd	7aa02f0f645fb887d20e1b6a939f0c102223cf95f5e0e1d9eda3b8cf5e249dd9	21996	21600	28800	-2032927596,21600;252439200,25200;417978000,28800;433785600,25200;449600400,28800;465321600,25200;481050000,28800;496771200,25200;512499600,28800;528220800,25200;543949200,28800;559670400,25200;575398800,28800;591120000,25200;606848400,28800;622569600,25200;638298000,28800;654624000,25200;670352400,28800;686073600,25200;701802000,28800;717523200,25200;733251600,28800;748972800,25200;764701200,28800;780422400,25200;796150800,28800;811872000,25200;828205200,28800;843926400,25200;859654800,28800;875376000,25200;891104400,28800;906825600,25200;988398000,28800;1001700000,25200;1017428400,28800;1033149600,25200;1048878000,28800;1064599200,25200;1080327600,28800;1096048800,25200;1111777200,28800;1127498400,25200;1143226800,28800;1159552800,25200;1427482800,28800;1443196800,25200;1458932400,28800;1474646400,25200
Asia/Irkutsk	b16c69f20fda49f15a9f867217db3afa9117e55830c62fe336feefc0dd3a5c8a	25025	25025	32400	-2840165825,25025;-1575874625,25200;-1247554800,28800;354902400,32400;370710000,28800;386438400,32400;402246000,28800;417974400,32400;433782000,28800;449596800,32400;465328800,28800;481053600,32400;496778400,28800;512503200,32400;528228000,28800;543952800,32400;559677600,28800;575402400,32400;591127200,28800;606852000,32400;622576800,28800;638301600,32400;654631200,28800;670356000,28800;686084400,25200;695761200,28800;701805600,32400;717530400,28800;733255200,32400;748980000,28800;764704800,32400;780429600,28800;796154400,32400;811879200,28800;828208800,32400;846352800,28800;859658400,32400;877802400,28800;891108000,32400;909252000,28800;922557600,32400;941306400,28800;954007200,32400;972756000,28800;985456800,32400;1004205600,28800;1017511200,32400;1035655200,28800;1048960800,32400;1067104800,28800;1080410400,32400;1099159200,28800;1111860000,32400;1130608800,28800;1143309600,32400;1162058400,28800;1174759200,32400;1193508000,28800;1206813600,32400;1224957600,28800;1238263200,32400;1256407200,28800;1269712800,32400;1288461600,28800;1301162400,32400;1414256400,28800
Europe/Istanbul	2a7163b16b94806f69991348e7d0a60c46eb61b1f0305f5f4b83f613db10806f	6952	6952	14400	-2840147752,7016;-1869875816,7200;-1693706400,10800;-1680490800,7200;-1570413600,10800;-1552186800,7200;-1538359200,10800;-1522551600,7200;-1507514400,10800;-1490583600,7200;-1440208800,10800;-1428030000,7200;-1409709600,10800;-1396494000,7200;-931053600,10800;-922676400,7200;-917834400,10800;-892436400,7200;-875844000,10800;-764737200,7200;-744343200,10800;-733806000,7200;-716436000,10800;-701924400,7200;-684986400,10800;-670474800,7200;-654141600,10800;-639025200,7200;-622087200,10800;-606970800,7200;-590032800,10800;-575521200,7200;-235620000,10800;-194842800,7200;-177732000,10800;-165726000,7200;107910000,10800;121215600,7200;133920000,10800;152665200,7200;164678400,10800;184114800,7200;196214400,10800;215564400,7200;228873600,10800;245804400,7200;260323200,10800;267915600,10800;428454000,14400;433893600,10800;468111600,7200;482799600,10800;496710000,7200;512521200,10800;528246000,7200;543970800,10800;559695600,7200;575420400,10800;591145200,7200;606870000,10800;622594800,7200;638319600,10800;654649200,7200;670374000,10800;686098800,7200;701823600,10800;717548400,7200;733273200,10800;748998000,7200;764118000,10800;780447600,7200;796172400,10800;811897200,7200;828226800,10800;846370800,7200;859676400,10800;877820400,7200;891126000,10800;909270000,7200;922575600,10800;941324400,7200;954025200,10800;972774000,7200;985474800,10800;1004223600,7200;1017529200,10800;1035673200,7200;1048978800,10800;1067122800,7200;1080428400,10800;1099177200,7200;1111878000,10800;1130626800,7200;1143327600,10800;1162076400,7200;1174784400,10800;1193533200,7200;1206838800,10800;1224982800,7200;1238288400,10800;1256432400,7200;1269738000,10800;1288486800,7200;1301274000,10800;1319936400,7200;1332637200,10800;1351386000,7200;1364691600,10800;1382835600,7200;1396227600,10800;1414285200,7200;1427590800,10800;1446944400,7200;1459040400,10800;1473195600,10800
Asia/Jakarta	e2a099ea48b1f7166b88d219b326f7c44373d08909cd9723b44346946fd6a384	25632	25200	32400	-3231299232,25632;-1451719200,26400;-1172906400,27000;-876641400,32400;-766054800,27000;-683883000,28800;-620812800,27000;-189415800,25200
Asia/Jayapura	0546b4917d6239d7f413ebfbe35e61ee5d2542fe03042617ff77406d8990d315	33768	32400	34200	-1172913768,32400;-799491600,34200;-189423000,32400
Asia/Jerusalem	9fcde8d584dea0585f5c8727aaf35f48a149e0dbd3a83bf6cef8bca9c14021e3	8454	7200	14400	-2840149254,8440;-1641003640,7200;-933638400,10800;-923097600,7200;-919036800,10800;-857347200,7200;-844300800,10800;-825811200,7200;-812678400,10800;-794188800,7200;-779846400,10800;-762652800,7200;-748310400,10800;-731116800,7200;-681955200,14400;-673228800,10800;-667958400,7200;-652320000,10800;-636422400,7200;-622080000,10800;-608947200,7200;-591840000,10800;-572486400,7200;-558576000,10800;-542851200,7200;-527731200,10800;-514425600,7200;-490838400,10800;-482976000,7200;-459388800,10800;-451526400,7200;-428544000,10800;-418262400,7200;-400118400,10800;-387417600,7200;142380000,10800;150843600,7200;167176800,10800;178664400,7200;334101600,10800;337730400,7200;452642400,10800;462319200,7200;482277600,10800;494370000,7200;516751200,10800;526424400,7200;545436000,10800;558478800,7200;576626400,10800;589323600,7200;609890400,10800;620773200,7200;638316000,10800;651618000,7200;669765600,10800;683672400,7200;701820000,10800;715726800,7200;733701600,10800;747176400,7200;765151200,10800;778021200,7200;796600800,10800;810075600,7200;826840800,10800;842821200,7200;858895200,10800;874184400,7200;890344800,10800;905029200,7200;923011200,10800;936313200,7200;955670400,10800;970783200,7200;986770800,10800;1001282400,7200;1017356400,10800;1033941600,7200;1048806000,10800;1065132000,7200;1081292400,10800;1095804000,7200;1112313600,10800;1128812400,7200;1143763200,10800;1159657200,7200;1175212800,10800;1189897200,7200;1206662400,10800;1223161200,7200;1238112000,10800;1254006000,7200;1269561600,10800;1284246000,7200;1301616000,10800;1317510000,7200;1333065600,10800;1348354800,7200;1364515200,10800;1382828400,7200;1395964800,10800;1414278000,7200;1427414400,10800;1445727600,7200;1458864000,10800;1477782000,7200;1490313600,10800;1509231600,7200;1521763200,10800;1540681200,7200;1553817600,10800;1572130800,7200;1585267200,10800;1603580400,7200;1616716800,10800;1635634800,7200;1648166400,10800;1667084400,7200;1679616000,10800;1698534000,7200;1711670400,10800;1729983600,7200;1743120000,10800;1761433200,7200;1774569600,10800;1792882800,7200;1806019200,10800;1824937200,7200;1837468800,10800;1856386800,7200;1868918400,10800;1887836400,7200;1900972800,10800;1919286000,7200;1932422400,10800;1950735600,7200;1963872000,10800;1982790000,7200;1995321600,10800;2014239600,7200;2026771200,10800;2045689200,7200;2058220800,10800;2077138800,7200;2090275200,10800;2108588400,7200;2121724800,10800;2140038000,7200;2153174400,10800;2172092400,7200;2184624000,10800;2203542000,7200;2216073600,10800;2234991600,7200;2248128000,10800;2266441200,7200;2279577600,10800;2297890800,7200;2311027200,10800;2329340400,7200;2342476800,10800;2361394800,7200;2373926400,10800;2392844400,7200;2405376000,10800;2424294000,7200;2437430400,10800;2455743600,7200;2468880000,10800;2487193200,7200;2500329600,10800;2519247600,7200;2531779200,10800;2550697200,7200;2563228800,10800;2582146800,7200;2595283200,10800;2613596400,7200;2626732800,10800;2645046000,7200;2658182400,10800;2676495600,7200;2689632000,10800;2708550000,7200;2721081600,10800;2739999600,7200;2752531200,10800;2771449200,7200;2784585600,10800;2802898800,7200;2816035200,10800;2834348400,7200;2847484800,10800;2866402800,7200;2878934400,10800;2897852400,7200;2910384000,10800;2929302000,7200;2941833600,10800;2960751600,7200;2973888000,10800;2992201200,7200;3005337600,10800;3023650800,7200;3036787200,10800;3055705200,7200;3068236800,10800;3087154800,7200;3099686400,10800;3118604400,7200;3131740800,10800;3150054000,7200;3163190400,10800;3181503600,7200;3194640000,10800;3212953200,7200;3226089600,10800;3245007600,7200;3257539200,10800;3276457200,7200;3288988800,10800;3307906800,7200;3321043200,10800;3339356400,7200;3352492800,10800;3370806000,7200;3383942400,10800;3402860400,7200;3415392000,10800;3434310000,7200;3446841600,10800;3465759600,7200;3478896000,10800;3497209200,7200;3510345600,10800;3528658800,7200;3541795200,10800;3560108400,7200;3573244800,10800;3592162800,7200;3604694400,10800;3623612400,7200;3636144000,10800;3655062000,7200;3668198400,10800;3686511600,7200;3699648000,10800;3717961200,7200;3731097600,10800;3750015600,7200;3762547200,10800;3781465200,7200;3793996800,10800;3812914800,7200;3825446400,10800;3844364400,7200;3857500800,10800;3875814000,7200;3888950400,10800;3907263600,7200;3920400000,10800;3939318000,7200;3951849600,10800;3970767600,7200;3983299200,10800;4002217200,7200;4015353600,10800;4033666800,7200;4046803200,10800;4065116400,7200;4078252800,10800;4096566000,7200;4109702400,10800;4128620400,7200;4141152000,10800;4160070000,7200;4172601600,10800;4191519600,7200;4204051200,10800;4222969200,7200;4236105600,10800;4254418800,7200;4267555200,10800;4285868400,7200;4299004800,10800;4317922800,7200;4330454400,10800;4349372400,7200;4361904000,10800;4380822000,7200;4393958400,10800;4412271600,7200;4425408000,10800;4443721200,7200;4456857600,10800;4475170800,7200;4488307200,10800;4507225200,7200;4519756800,10800;4538674800,7200;4551206400,10800;4570124400,7200;4583260800,10800;4601574000,7200;4614710400,10800;4633023600,7200;4646160000,10800;4665078000,7200;4677609600,10800;4696527600,7200;4709059200,10800;4727977200,7200;4741113600,10800;4759426800,7200;4772563200,10800;4790876400,7200;4804012800,10800;4822326000,7200;4835462400,10800;4854380400,7200;4866912000,10800;4885830000,7200;4898361600,10800;4917279600,7200;4930416000,10800;4948729200,7200;4961865600,10800;4980178800,7200;4993315200,10800;5012233200,7200;5024764800,10800;5043682800,7200;5056214400,10800;5075132400,7200;5087664000,10800;5106582000,7200;5119718400,10800;5138031600,7200;5151168000,10800;5169481200,7200;5182617600,10800;5201535600,7200;5214067200,10800;5232985200,7200;5245516800,10800;5264434800,7200;5277571200,10800;5295884400,7200;5309020800,10800;5327334000,7200;5340470400,10800;5358783600,7200;5371920000,10800;5390838000,7200;5403369600,10800;5422287600,7200;5434819200,10800;5453737200,7200;5466873600,10800;5485186800,7200;5498323200,10800;5516636400,7200;5529772800,10800;5548690800,7200;5561222400,10800;5580140400,7200;5592672000,10800;5611590000,7200;5624726400,10800;5643039600,7200;5656176000,10800;5674489200,7200;5687625600,10800;5705938800,7200;5719075200,10800;5737993200,7200;5750524800,10800;5769442800,7200;5781974400,10800;5800892400,7200;5814028800,10800;5832342000,7200;5845478400,10800;5863791600,7200;5876928000,10800;5895846000,7200;5908377600,10800;5927295600,7200;5939827200,10800;5958745200,7200;5971276800,10800;5990194800,7200;6003331200,10800;6021644400,7200;6034780800,10800;6053094000,7200;6066230400,10800;6085148400,7200;6097680000,10800;6116598000,7200;6129129600,10800;6148047600,7200;6161184000,10800;6179497200,7200;6192633600,10800;6210946800,7200;6224083200,10800;6242396400,7200;6255532800,10800;6274450800,7200;6286982400,10800;6305900400,7200;6318432000,10800;6337350000,7200;6350486400,10800;6368799600,7200;6381936000,10800;6400249200,7200;6413385600,10800;6432303600,7200;6444835200,10800;6463753200,7200;6476284800,10800;6495202800,7200;6508339200,10800;6526652400,7200;6539788800,10800;6558102000,7200;6571238400,10800;6589551600,7200;6602688000,10800;6621606000,7200;6634137600,10800;6653055600,7200;6665587200,10800;6684505200,7200;6697641600,10800;6715954800,7200;6729091200,10800;6747404400,7200;6760540800,10800;6779458800,7200;6791990400,10800;6810908400,7200;6823440000,10800;6842358000,7200;6854889600,10800;6873807600,7200;6886944000,10800;6905257200,7200;6918393600,10800;6936706800,7200;6949843200,10800;6968761200,7200;6981292800,10800;7000210800,7200;7012742400,10800;7031660400,7200;7044796800,10800;7063110000,7200;7076246400,10800;7094559600,7200;7107696000,10800;7126009200,7200;7139145600,10800;7158063600,7200;7170595200,10800;7189513200,7200;7202044800,10800;7220962800,7200;7234099200,10800;7252412400,7200
Asia/Kabul	a4d2304df8921bbd4118abeb84aaa8d71771724031f6f7dcc799c96a7acbf354	16608	14400	16608	-2524538208,14400;-788932800,16200
Asia/Kamchatka	422c7cc77b3e9bc5137a2c3334f072fd942f0335ff69a8a1cff3f32df4e251a7	38076	38076	46800	-1487759676,39600;-1247569200,43200;354888000,46800;370695600,43200;386424000,46800;402231600,43200;417960000,46800;433767600,43200;449582400,46800;465314400,43200;481039200,46800;496764000,43200;512488800,46800;528213600,43200;543938400,46800;559663200,43200;575388000,46800;591112800,43200;606837600,46800;622562400,43200;638287200,46800;654616800,43200;670341600,43200;686070000,39600;695746800,43200;701791200,46800;717516000,43200;733240800,46800;748965600,43200;764690400,46800;780415200,43200;796140000,46800;811864800,43200;828194400,46800;846338400,43200;859644000,46800;877788000,43200;891093600,46800;909237600,43200;922543200,46800;941292000,43200;953992800,46800;972741600,43200;985442400,46800;1004191200,43200;1017496800,46800;1035640800,43200;1048946400,46800;1067090400,43200;1080396000,46800;1099144800,43200;1111845600,46800;1130594400,43200;1143295200,46800;1162044000,43200;1174744800,46800;1193493600,43200;1206799200,46800;1224943200,43200;1238248800,46800;1256392800,43200;1269698400,43200;1288450800,39600;1301151600,43200
Asia/Karachi	ba3a38c2ffb7a1af6d7eb153e63b0b70461c8de19e051806d90c1d5e0fe28d4e	16092	16092	23400	-1988166492,19800;-862637400,23400;-764145000,19800;-576135000,18000;38775600,18000;1018119600,21600;1033840800,18000;1212260400,21600;1225476000,18000;1239735600,21600;1257012000,18000
Asia/Urumqi	849cafd377611cc2fc2b41891ab63c6fb3343949045db961fd16267593315ad4	21020	21020	21600	-1325483420,21600
Asia/Kathmandu	76b8f1bfe072231a1d9e7f8501310e27c0d08048c48f7422860b6477c142c438	20476	19800	20700	-1577943676,19800;504901800,20700
Asia/Khandyga	7dd1033ac0c990bb843726ea217b53888e24d9edb874a1c37c14f0c3d02d6d2c	32533	28800	39600	-1579424533,28800;-1247558400,32400;354898800,36000;370706400,32400;386434800,36000;402242400,32400;417970800,36000;433778400,32400;449593200,36000;465325200,32400;481050000,36000;496774800,32400;512499600,36000;528224400,32400;543949200,36000;559674000,32400;575398800,36000;591123600,32400;606848400,36000;622573200,32400;638298000,36000;654627600,32400;670352400,32400;686080800,28800;695757600,32400;701802000,36000;717526800,32400;733251600,36000;748976400,32400;764701200,36000;780426000,32400;796150800,36000;811875600,32400;828205200,36000;846349200,32400;859654800,36000;877798800,32400;891104400,36000;909248400,32400;922554000,36000;941302800,32400;954003600,36000;972752400,32400;985453200,36000;1004202000,32400;1017507600,36000;1035651600,32400;1048957200,36000;1067101200,32400;1072882800,36000;1080403200,39600;1099152000,36000;1111852800,39600;1130601600,36000;1143302400,39600;1162051200,36000;1174752000,39600;1193500800,36000;1206806400,39600;1224950400,36000;1238256000,39600;1256400000,36000;1269705600,39600;1288454400,36000;1301155200,39600;1315832400,36000;1414252800,32400
Asia/Krasnoyarsk	6ee348e52d60ede79d2be3e99eb2e40451590d4c82b47c5cc570d0185d80468b	22286	21600	28800	-1577513486,21600;-1247551200,25200;354906000,28800;370713600,25200;386442000,28800;402249600,25200;417978000,28800;433785600,25200;449600400,28800;465332400,25200;481057200,28800;496782000,25200;512506800,28800;528231600,25200;543956400,28800;559681200,25200;575406000,28800;591130800,25200;606855600,28800;622580400,25200;638305200,28800;654634800,25200;670359600,25200;686088000,21600;695764800,25200;701809200,28800;717534000,25200;733258800,28800;748983600,25200;764708400,28800;780433200,25200;796158000,28800;811882800,25200;828212400,28800;846356400,25200;859662000,28800;877806000,25200;891111600,28800;909255600,25200;922561200,28800;941310000,25200;954010800,28800;972759600,25200;985460400,28800;1004209200,25200;1017514800,28800;1035658800,25200;1048964400,28800;1067108400,25200;1080414000,28800;1099162800,25200;1111863600,28800;1130612400,25200;1143313200,28800;1162062000,25200;1174762800,28800;1193511600,25200;1206817200,28800;1224961200,25200;1238266800,28800;1256410800,25200;1269716400,28800;1288465200,25200;1301166000,28800;1414260000,25200
Asia/Singapore	0954b2d9a301d94f4348024606a71bbcb2fa24d3cd3709f5bc8bca605039785d	24925	24925	32400	-2177477725,24925;-2038200925,25200;-1167634800,26400;-1073028000,26400;-894180000,27000;-879665400,32400;-767005200,27000;378662400,28800
Asia/Macau	9abf3d8bfc293285a102da99ac5d9219ca082dc530eab62b0e42143400deb3b1	27250	27250	36000	-2056692850,28800;-884509200,32400;-873280800,36000;-855918000,32400;-841744800,36000;-828529200,32400;-765363600,28800;-747046800,32400;-733827600,28800;-716461200,32400;-697021200,28800;-683715600,32400;-667990800,28800;-654771600,32400;-636627600,28800;-623322000,32400;-605178000,28800;-591872400,32400;-573642000,28800;-559818000,32400;-541674000,28800;-528368400,32400;-510224400,28800;-498128400,32400;-478774800,28800;-466678800,32400;-446720400,28800;-435229200,32400;-415258200,28800;-403158600,32400;-383808600,28800;-371709000,32400;-352359000,28800;-340259400,32400;-320909400,28800;-308809800,32400;-288855000,28800;-277360200,32400;-257405400,28800;-245910600,32400;-225955800,28800;-213856200,32400;-194506200,28800;-182406600,32400;-163056600,28800;-148537800,32400;-132820200,28800;-117088200,32400;-101370600,28800;-85638600,32400;-69312600,28800;-53584200,32400;-37863000,28800;-22134600,32400;-6413400,28800;9315000,32400;25036200,28800;40764600,32400;56485800,28800;72214200,32400;88540200,28800;104268600,32400;119989800,28800;126041400,32400;151439400,28800;167167800,32400;182889000,28800;198617400,32400;214338600,28800;295385400,32400;309292200,28800
